qid,P685,#,S248,s813
Q21876094,"""248829""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q157437,"""29712""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q1349958,"""4589""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q1911022,"""46091""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q15514929,"""200524""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q1144724,"""98722""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q17271771,"""1902521""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q159107,"""221188""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q1477103,"""3560""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q15509399,"""200625""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q163168,"""4309""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q4431244,"""2527813""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q19848892,"""702219""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q157891,"""669720""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q12570316,"""665470""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q5753000,"""221190""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q4431244,"""2527813""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q159439,"""224743""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q1226069,"""1479352""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q122679,"""39367""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q159109,"""434244""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q811549,"""145751""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q872077,"""310424""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q39577922,"""4586""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q925164,"""99028""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q2000383,"""85337""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q39069461,"""260593""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q22113352,"""565439""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q15510207,"""649773""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q149625,"""470566""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q49631194,"""444604""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q3315633,"""258340""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q15537076,"""358659""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q261051,"""595332""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q39317386,"""59341""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q11088866,"""325504""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q22696075,"""59351""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q15600583,"""3621""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q157851,"""110753""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q107348218,"""366479""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q899672,"""488216""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q15558737,"""2604620""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q17242678,"""277990""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q160388,"""165376""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q2838916,"""261773""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q1323751,"""189238""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q848942,"""125586""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q15514303,"""200282""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q12212148,"""4494""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q5101435,"""1640889""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q1209890,"""1072212""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q911506,"""228870""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q1306133,"""336229""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q15630502,"""59425""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q159594,"""223125""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q55856665,"""2878849""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q50999502,"""2878849""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q17244662,"""3528""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q159442,"""1122272""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q5753003,"""221193""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q157859,"""228244""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q15501788,"""198504""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q21872004,"""467599""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q15514328,"""145853""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q12846085,"""41466""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q15511757,"""470288""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q19849736,"""122298""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q165009,"""203594""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q15341308,"""301896""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q15560290,"""1563975""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q2245611,"""468978""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q8196867,"""226019""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q150095,"""133196""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q159113,"""357596""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q4353762,"""153323""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q22782964,"""230577""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q28936012,"""520770""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q39349285,"""1126420""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q21038,"""42036""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q160059,"""397089""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q5190598,"""1532756""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q15573217,"""71035""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q1411504,"""39354""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q1456751,"""89686""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q163655,"""151250""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q50862026,"""339964""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q6117898,"""268931""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q21977700,"""59316""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q1459214,"""46056""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q15502254,"""145781""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q21874195,"""91242""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q1286595,"""137677""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q304165,"""261619""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q11890767,"""1213287""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q15343421,"""1164940""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q149341,"""387931""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q12180320,"""226021""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q21976209,"""39855""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q3352121,"""317957""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q12210235,"""145752""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q15507251,"""192627""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q16983174,"""221202""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q160340,"""223091""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q9344516,"""189240""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q1484698,"""49785""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q1985749,"""535968""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q158303,"""203270""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q161742,"""29672""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q16756766,"""74823""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q18325066,"""189239""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q50839817,"""1193263""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q160334,"""3834""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q21398820,"""704092""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q18193733,"""572133""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q161568,"""96047""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q17132482,"""63000""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q1405595,"""52473""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q3338352,"""280016""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q161780,"""33120""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q497124,"""1640877""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q159083,"""46066""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q164154,"""559508""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q36737,"""39387""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q10881597,"""3897""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q158885,"""1137862""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q165095,"""197794""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q160492,"""193298""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q50999502,"""2878849""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q55856665,"""2878849""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q2901721,"""51268""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q15523284,"""254896""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q243980,"""1435664""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q15505446,"""399643""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q579476,"""268885""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q149379,"""445233""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q1543836,"""244509""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q3143948,"""1211475""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q17258002,"""167744""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q159968,"""29677""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q65951243,"""568213""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q1284518,"""176248""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q21397997,"""125729""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q159688,"""880706""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q15375754,"""61660""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q385259,"""114289""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q159245,"""208932""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q15635677,"""418826""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q1546483,"""75960""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q1633853,"""119176""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q20060609,"""931263""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q19848859,"""268036""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q39521446,"""125697""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q810563,"""434243""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q12047762,"""174658""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q17243372,"""1902519""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q921553,"""148911""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q243927,"""702255""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q163946,"""81770""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q931460,"""221204""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q96189301,"""763651""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q4045157,"""190009""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q2533688,"""1053959""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q161306,"""57945""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q17238084,"""1902520""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q8344662,"""179396""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q158144,"""59333""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q17562984,"""1370111""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q2710476,"""181254""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q50841536,"""53161""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q17505414,"""59340""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q1279712,"""189225""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q3666050,"""49806""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q162645,"""165364""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q3291365,"""86159""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q901435,"""468249""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q1386846,"""352814""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
Q1138172,"""13840""",Add NCBI Taxonomy identifier,Q13711410,+2022-12-01T00:00:00Z/11
