qid,-P846,#,P846,#,S248,s813
Q163374,"""3188833""",Remove identifier pointing to homonym with wrong authorship,"""8994150""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q17435350,"""4095810""",Remove identifier pointing to homonym with wrong authorship,"""8201823""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q17251777,"""2989017""",Remove identifier pointing to homonym with wrong authorship,"""8289268""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q148734,"""2702321""",Remove identifier pointing to homonym with wrong authorship,"""7679536""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q157343,"""3172085""",Remove identifier pointing to homonym with wrong authorship,"""7874883""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q853554,"""3121147""",Remove identifier pointing to homonym with wrong authorship,"""8195160""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q159345,"""2721154""",Remove identifier pointing to homonym with wrong authorship,"""8388555""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q161653,"""7331652""",Remove identifier pointing to homonym with wrong authorship,"""7693914""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q7078662,"""3188905""",Remove identifier pointing to homonym with wrong authorship,"""7884360""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q157643,"""2888944""",Remove identifier pointing to homonym with wrong authorship,"""8195144""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q156854,"""2914401""",Remove identifier pointing to homonym with wrong authorship,"""9063248""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q937450,"""5384468""",Remove identifier pointing to homonym with wrong authorship,"""8089871""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q15572376,"""5585288""",Remove identifier pointing to homonym with wrong authorship,"""8237138""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q2036293,"""7319754""",Remove identifier pointing to homonym with wrong authorship,"""8915858""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q158938,"""3727348""",Remove identifier pointing to homonym with wrong authorship,"""8903918""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q225569,"""3110927""",Remove identifier pointing to homonym with wrong authorship,"""8286501""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q685946,"""3120266""",Remove identifier pointing to homonym with wrong authorship,"""9536147""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q164032,"""3050018""",Remove identifier pointing to homonym with wrong authorship,"""7473187""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q159743,"""5341509""",Remove identifier pointing to homonym with wrong authorship,"""8810827""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q12217878,"""5384743""",Remove identifier pointing to homonym with wrong authorship,"""8993502""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q139007,"""5540618""",Remove identifier pointing to homonym with wrong authorship,"""7911410""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q3241249,"""4048333""",Remove identifier pointing to homonym with wrong authorship,"""7734774""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q10786681,"""2974822""",Remove identifier pointing to homonym with wrong authorship,"""7426824""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q4108053,"""7331812""",Remove identifier pointing to homonym with wrong authorship,"""7871681""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q164692,"""5375470""",Remove identifier pointing to homonym with wrong authorship,"""9184619""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q1532800,"""7318199""",Remove identifier pointing to homonym with wrong authorship,"""7560711""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q1308044,"""3121605""",Remove identifier pointing to homonym with wrong authorship,"""8373355""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q571357,"""3086594""",Remove identifier pointing to homonym with wrong authorship,"""8035698""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q157442,"""2840512""",Remove identifier pointing to homonym with wrong authorship,"""7845022""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q7485552,"""3051094""",Remove identifier pointing to homonym with wrong authorship,"""7870683""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q12217924,"""5584298""",Remove identifier pointing to homonym with wrong authorship,"""8150863""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q15546357,"""2990482""",Remove identifier pointing to homonym with wrong authorship,"""7753571""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q572693,"""3088491""",Remove identifier pointing to homonym with wrong authorship,"""7497356""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q159360,"""2913632""",Remove identifier pointing to homonym with wrong authorship,"""9121716""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q159118,"""2704266""",Remove identifier pointing to homonym with wrong authorship,"""8300875""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q161409,"""7334248""",Remove identifier pointing to homonym with wrong authorship,"""8164781""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q44120,"""3021365""",Remove identifier pointing to homonym with wrong authorship,"""7931731""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q15485005,"""3678709""",Remove identifier pointing to homonym with wrong authorship,"""8406906""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q7136830,"""3171819""",Remove identifier pointing to homonym with wrong authorship,"""8049400""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q15577678,"""3135539""",Remove identifier pointing to homonym with wrong authorship,"""7569785""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q163287,"""7332962""",Remove identifier pointing to homonym with wrong authorship,"""8019690""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q159237,"""2704238""",Remove identifier pointing to homonym with wrong authorship,"""8086756""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q614880,"""3132567""",Remove identifier pointing to homonym with wrong authorship,"""8298495""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q158865,"""5365359""",Remove identifier pointing to homonym with wrong authorship,"""8011540""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q160244,"""7332901""",Remove identifier pointing to homonym with wrong authorship,"""7989064""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q147096,"""3190167""",Remove identifier pointing to homonym with wrong authorship,"""8077391""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q146400,"""2932865""",Remove identifier pointing to homonym with wrong authorship,"""9150405""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q161882,"""7266559""",Remove identifier pointing to homonym with wrong authorship,"""7482782""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q15092397,"""4005201""",Remove identifier pointing to homonym with wrong authorship,"""8109831""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q159445,"""3047146""",Remove identifier pointing to homonym with wrong authorship,"""9040863""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q163311,"""7276649""",Remove identifier pointing to homonym with wrong authorship,"""7931051""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q1795431,"""7270120""",Remove identifier pointing to homonym with wrong authorship,"""7408221""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q164064,"""3981088""",Remove identifier pointing to homonym with wrong authorship,"""7695021""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q7555755,"""2929577""",Remove identifier pointing to homonym with wrong authorship,"""7538163""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q902211,"""2650662""",Remove identifier pointing to homonym with wrong authorship,"""8108066""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q4195476,"""5583138""",Remove identifier pointing to homonym with wrong authorship,"""7429900""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q161397,"""2706410""",Remove identifier pointing to homonym with wrong authorship,"""7883427""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q160745,"""3839133""",Remove identifier pointing to homonym with wrong authorship,"""7440277""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q232321,"""7339248""",Remove identifier pointing to homonym with wrong authorship,"""7646635""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q1074130,"""7329119""",Remove identifier pointing to homonym with wrong authorship,"""7889215""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q159980,"""7298851""",Remove identifier pointing to homonym with wrong authorship,"""7735944""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q164949,"""4006171""",Remove identifier pointing to homonym with wrong authorship,"""8001549""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q164032,"""3050018""",Remove identifier pointing to homonym with wrong authorship,"""7473187""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q3342876,"""7299265""",Remove identifier pointing to homonym with wrong authorship,"""8228776""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q162496,"""4007030""",Remove identifier pointing to homonym with wrong authorship,"""7702019""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q10408275,"""3735233""",Remove identifier pointing to homonym with wrong authorship,"""7519710""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q164367,"""5369684""",Remove identifier pointing to homonym with wrong authorship,"""7860935""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q22106398,"""7334563""",Remove identifier pointing to homonym with wrong authorship,"""8091002""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q164360,"""5298781""",Remove identifier pointing to homonym with wrong authorship,"""9082208""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q622525,"""5341801""",Remove identifier pointing to homonym with wrong authorship,"""8969026""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q116137,"""5403805""",Remove identifier pointing to homonym with wrong authorship,"""8537667""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q162764,"""7277919""",Remove identifier pointing to homonym with wrong authorship,"""7509607""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q26932,"""5393090""",Remove identifier pointing to homonym with wrong authorship,"""7353729""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q162256,"""3085405""",Remove identifier pointing to homonym with wrong authorship,"""8941837""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q164151,"""3189096""",Remove identifier pointing to homonym with wrong authorship,"""9188840""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q162795,"""2891729""",Remove identifier pointing to homonym with wrong authorship,"""8427624""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q159064,"""3033672""",Remove identifier pointing to homonym with wrong authorship,"""8090449""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q163382,"""5688582""",Remove identifier pointing to homonym with wrong authorship,"""7963827""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q21877144,"""5365710""",Remove identifier pointing to homonym with wrong authorship,"""8182596""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q157433,"""2798242""",Remove identifier pointing to homonym with wrong authorship,"""9213153""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q1076276,"""5334234""",Remove identifier pointing to homonym with wrong authorship,"""7902463""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q156106,"""2965324""",Remove identifier pointing to homonym with wrong authorship,"""9151957""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q163141,"""7272444""",Remove identifier pointing to homonym with wrong authorship,"""7768870""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q1818500,"""3088634""",Remove identifier pointing to homonym with wrong authorship,"""8584304""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q159611,"""6109718""",Remove identifier pointing to homonym with wrong authorship,"""9080185""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q159744,"""2915087""",Remove identifier pointing to homonym with wrong authorship,"""9039392""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q171497,"""3119195""",Remove identifier pointing to homonym with wrong authorship,"""9206251""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q158517,"""3084783""",Remove identifier pointing to homonym with wrong authorship,"""9004024""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q15577039,"""3085658""",Remove identifier pointing to homonym with wrong authorship,"""7736551""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q5672161,"""3110592""",Remove identifier pointing to homonym with wrong authorship,"""7499720""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q160287,"""7332490""",Remove identifier pointing to homonym with wrong authorship,"""7750780""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q160361,"""7293135""",Remove identifier pointing to homonym with wrong authorship,"""8069406""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q15586894,"""3120157""",Remove identifier pointing to homonym with wrong authorship,"""8059665""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q15350096,"""6409989""",Remove identifier pointing to homonym with wrong authorship,"""8916040""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q1473991,"""5371873""",Remove identifier pointing to homonym with wrong authorship,"""7622278""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q528886,"""4051926""",Remove identifier pointing to homonym with wrong authorship,"""7372627""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q2054752,"""3144035""",Remove identifier pointing to homonym with wrong authorship,"""7956743""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q3446552,"""2990517""",Remove identifier pointing to homonym with wrong authorship,"""7674528""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q158228,"""6427526""",Remove identifier pointing to homonym with wrong authorship,"""8365953""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q15506662,"""4203991""",Remove identifier pointing to homonym with wrong authorship,"""7414128""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q162286,"""5367126""",Remove identifier pointing to homonym with wrong authorship,"""7960595""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q1245970,"""2928739""",Remove identifier pointing to homonym with wrong authorship,"""7894250""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q149652,"""7277858""",Remove identifier pointing to homonym with wrong authorship,"""8246651""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q1569852,"""3127963""",Remove identifier pointing to homonym with wrong authorship,"""8087525""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q2395449,"""3140270""",Remove identifier pointing to homonym with wrong authorship,"""9123250""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q149561,"""5391490""",Remove identifier pointing to homonym with wrong authorship,"""9182765""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q1415682,"""3004299""",Remove identifier pointing to homonym with wrong authorship,"""7934161""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q163756,"""7293308""",Remove identifier pointing to homonym with wrong authorship,"""8169088""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q21250689,"""4938576""",Remove identifier pointing to homonym with wrong authorship,"""9406329""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q160079,"""7332644""",Remove identifier pointing to homonym with wrong authorship,"""7810918""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q580679,"""3120873""",Remove identifier pointing to homonym with wrong authorship,"""7934845""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q3384,"""3042677""",Remove identifier pointing to homonym with wrong authorship,"""7903057""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q160724,"""3663767""",Remove identifier pointing to homonym with wrong authorship,"""7737682""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q157552,"""5414325""",Remove identifier pointing to homonym with wrong authorship,"""8377689""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q164975,"""5583341""",Remove identifier pointing to homonym with wrong authorship,"""8119241""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q160572,"""5384336""",Remove identifier pointing to homonym with wrong authorship,"""8911082""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q160248,"""7301110""",Remove identifier pointing to homonym with wrong authorship,"""7475424""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q573508,"""5663481""",Remove identifier pointing to homonym with wrong authorship,"""7499288""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q159752,"""2974915""",Remove identifier pointing to homonym with wrong authorship,"""9182154""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q28692,"""5371877""",Remove identifier pointing to homonym with wrong authorship,"""8080300""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q165043,"""3732407""",Remove identifier pointing to homonym with wrong authorship,"""7943745""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q164248,"""3924644""",Remove identifier pointing to homonym with wrong authorship,"""7826351""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
Q15371463,"""3893708""",Remove identifier pointing to homonym with wrong authorship,"""8118326""",Add correct GBIF identifier,Q1531570,+2021-11-26T00:00:00Z/11
